Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00129,"OU","GB129_test","Bulge",17:53:15.74,-31:31:28.99,0.00,0.00,-41760.00,Open,H,None,0.0,0.0,1,1,10.00,"",""
0,P00128,"OU","GB128_test","Bulge",17:56:03.44,-30:29:52.69,0.00,0.00,-42840.00,Open,H,None,0.0,0.0,1,1,10.00,"",""
0,P00127,"OU","GB127_test","Bulge",17:58:47.91,-29:28:05.37,0.00,0.00,-43920.00,Open,H,None,0.0,0.0,1,1,10.00,"",""
0,P00126,"OU","GB126_test","Bulge",18:01:29.36,-28:26:07.76,0.00,0.00,-45000.00,Open,H,None,0.0,0.0,1,1,10.00,"",""
0,P00125,"OU","GB125_test","Bulge",18:04:07.95,-27:24:00.56,0.00,0.00,-45720.00,Open,H,None,0.0,0.0,1,1,10.00,"",""
0,P04429,"OU","GB63","Bulge",17:28:28.00,-31:01:12.71,0.00,0.00,-30240.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04430,"OU","GB80","Bulge",17:33:07.47,-31:40:25.34,0.00,0.00,-32400.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04431,"OU","GB97","Bulge",17:37:50.88,-32:18:59.35,0.00,0.00,-34560.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04432,"OU","GB114","Bulge",17:42:38.30,-32:56:53.22,0.00,0.00,-37080.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04433,"OU","GB131","Bulge",17:47:29.82,-33:34:05.37,0.00,0.00,-39240.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04434,"OU","GB130","Bulge",17:50:24.61,-32:32:53.49,0.00,0.00,-40680.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04435,"OU","GB113","Bulge",17:45:35.32,-31:56:03.83,0.00,0.00,-38160.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
0,P04436,"OU","GB96","Bulge",17:40:49.90,-31:18:33.75,0.00,0.00,-36000.00,Open,H,None,0.0,0.0,1,12,10.00,"",""
