#field RA Dec type(main=1,sub=2,moa=3,other=0)
151 17:43:24.75 -37:13:55.82 0
152 17:40:15.69 -38:14:34.06 0
153 17:37:01.75 -39:14:56.07 0
154 18:25:51.89 -23:18:01.42 0
155 18:23:28.58 -24:21:08.15 0
156 18:21:03.39 -25:24:10.00 0
157 18:18:36.16 -26:27:06.49 0
158 18:16:06.76 -27:29:57.11 0
159 18:13:35.02 -28:32:41.32 0
160 18:11:00.78 -29:35:18.56 0
161 18:08:23.86 -30:37:48.22 0
162 18:05:44.06 -31:40:09.69 0
163 18:03:01.21 -32:42:22.29 0
164 18:00:15.08 -33:44:25.33 0
165 17:57:25.47 -34:46:18.06 0
166 17:54:32.13 -35:47:59.68 0
167 17:51:34.82 -36:49:29.35 0
168 17:48:33.29 -37:50:46.18 0
169 17:45:27.25 -38:51:49.20 0
170 17:42:16.41 -39:52:37.38 0
171 18:30:29.17 -23:50:36.07 0
172 18:28:07.84 -24:53:51.01 0
173 18:25:44.71 -25:57:01.94 0
174 18:23:19.65 -27:00:08.40 0
175 18:20:52.51 -28:03:09.90 0
176 18:18:23.12 -29:06:05.94 0
177 18:15:51.33 -30:08:55.98 0
178 18:13:16.95 -31:11:39.44 0
179 18:10:39.80 -32:14:15.76 0
180 18:07:59.68 -33:16:44.28 0
181 18:05:16.40 -34:19:04.36 0
182 18:02:29.72 -35:21:15.28 0
183 17:59:39.42 -36:23:16.30 0
184 17:56:45.26 -37:25:06.62 0
185 17:53:46.95 -38:26:45.39 0
186 17:50:44.24 -39:28:11.70 0
187 17:47:36.81 -40:29:24.58 0
