Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P006277,ALLSKY,field6277,all_sky_grid,19:48:50.2176,-37:54:32.256,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,03:59,25.622659396624485
0,P006789,ALLSKY,field6789,all_sky_grid,19:55:41.1504,-35:37:49.728,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:04,25.166610581632913
0,P016441,ALLSKY,field16441,all_sky_grid,05:11:08.4384,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:08,26.022536202021442
0,P016442,ALLSKY,field16442,all_sky_grid,05:15:41.856,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:13,26.014819332368823
0,P016756,ALLSKY,field16756,all_sky_grid,05:06:35.0208,+03:06:13.284,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:17,27.956333452336306
0,P016757,ALLSKY,field16757,all_sky_grid,05:11:08.4384,+03:06:13.284,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:22,27.94888433928009
0,P017071,ALLSKY,field17071,all_sky_grid,05:02:58.8912,+04:14:34.548,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:26,29.61336344030788
0,P017072,ALLSKY,field17072,all_sky_grid,05:07:33.1752,+04:14:34.548,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:31,29.60621177375927
0,P017385,ALLSKY,field17385,all_sky_grid,04:58:24.6048,+05:22:55.812,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:35,31.34274583446264
0,P017386,ALLSKY,field17386,all_sky_grid,05:02:58.8912,+05:22:55.812,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:40,31.335953700246453
0,P017699,ALLSKY,field17699,all_sky_grid,04:54:46.224,+06:31:17.112,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:44,32.788598146253086
0,P017700,ALLSKY,field17700,all_sky_grid,04:59:21.384,+06:31:17.112,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,04:49,32.782196083300114
