Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P013626,ALLSKY,field13626,all_sky_grid,06:55:19.4832,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:25,29.60692995094623
0,P013627,ALLSKY,field13627,all_sky_grid,06:59:55.5216,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:29,29.585940896829953
0,P013628,ALLSKY,field13628,all_sky_grid,07:04:31.56,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:34,29.57741630416389
0,P013629,ALLSKY,field13629,all_sky_grid,07:09:07.5984,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:38,29.5563945194854
0,P013630,ALLSKY,field13630,all_sky_grid,07:13:43.6368,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:43,29.535355067585513
0,P013932,ALLSKY,field13932,all_sky_grid,06:21:54.2496,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:47,40.36867143449968
0,P013933,ALLSKY,field13933,all_sky_grid,06:26:29.4096,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:52,40.34903887954126
0,P013934,ALLSKY,field13934,all_sky_grid,06:31:04.5672,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:56,40.34126275819326
0,P013935,ALLSKY,field13935,all_sky_grid,06:35:39.7272,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:01,40.33347549242432
0,P013936,ALLSKY,field13936,all_sky_grid,06:40:14.8872,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:05,40.31380435595546
0,P013937,ALLSKY,field13937,all_sky_grid,06:44:50.0472,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:10,40.305991744054474
0,P013938,ALLSKY,field13938,all_sky_grid,06:49:25.2048,-07:08:58.092,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:14,40.286290877846106
